Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
40750,151723,122337,23621,30976,46869,20004,17624,65438055,63635,64812,9164,56764543,31881,61533289,14512,46641759,30507,101390924,9621,88782814,41323019
41000,150833,113253,23961,29848,49639,17590,17860,66397256,68332,70430,8925,56350156,29420,62258550,14586,47230196,30881,100787706,9593,88629942,41477108
41250,170081,119250,23181,33690,43286,16156,17461,66185538,67324,74162,8510,58522433,31426,64082901,13533,47456080,30795,99748848,9463,89470337,41577157
41500,163264,106168,25582,28264,54300,16871,17614,66395094,69403,61973,9135,61336897,28622,62862324,14219,47421158,28912,101767512,10169,90173686,41897417
41750,154044,110763,23163,30957,41747,16456,18335,67100613,68015,68958,8911,57672409,30797,64500122,15169,51383272,35592,102925733,9911,92421913,42260921
42000,162589,126247,23168,30137,46088,15832,17761,67999048,65461,69462,9332,57728001,32942,63931352,14459,49407253,30610,102602644,10418,90613579,42754715
42250,158212,112408,22503,30048,45340,20201,16996,68257639,5218288,89424,11448,58101216,31203,64876176,15674,48792858,30115,105758327,18463,90324275,42691560
42500,157003,120959,22453,31434,40952,17665,17582,67939807,65533,89466,11414,65197362,31831,64867339,14669,48823857,29382,104042402,10375,91558968,42976898
42750,143038,120007,22790,29416,51536,16253,16672,73022440,60515,82703,11010,63787506,29331,67228078,14207,49491800,29204,104692201,9792,92581373,43176906
43000,150663,119341,22409,29412,47175,17120,17118,69242623,61785,93668,11209,61028387,30663,66841147,15795,49464646,27797,105132096,10716,93123218,43452030
43250,159676,116274,22634,30121,48633,20748,16717,69269667,60788,80883,11286,61295514,30296,67237914,14489,49858275,29413,106127100,9631,93460559,43637781
43500,162922,122756,22712,29836,48505,17958,18750,69740684,62708,85450,11313,61510888,32632,67467669,14678,49939907,29546,105490709,12088,94314582,44044474
43750,202849,134870,22546,28511,48840,17045,17235,71094767,57496,81134,24299,70119738,30873,67279334,13338,50349425,27235,107840791,10840,93875576,44559323
